,A1,A2,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,C8
A1,230,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,0,217,0,0,0,0,0,0,0,0,0,0,0,0
B1,0,0,40,0,0,0,0,0,0,0,0,0,0,0
B2,0,0,0,61,0,0,0,0,0,0,0,0,0,0
B3,0,0,0,0,61,0,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,60,0,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,38,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,28,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,22,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,34,0,0,0,0
C5,0,0,0,0,0,0,0,0,0,0,29,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,32,0,0
C7,0,0,0,0,0,0,0,0,0,0,0,0,33,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,27
