version,n_states,abs_diff_mean,abs_diff_max,c_flip_A_avg_dB,c_flip_B_avg_dB
v1,32,2.764838933944702,29.017669677734375,0.267555296421051,0.39953458309173584
v2,32,2.6782732009887695,26.278152465820312,0.3145384192466736,0.19290167093276978
v3,32,2.733365535736084,27.057514190673828,0.24380706250667572,0.20160526037216187
v4,32,2.6863205432891846,24.81928253173828,0.20422154664993286,0.18966329097747803
v5,32,2.7154722213745117,24.680587768554688,0.19248829782009125,0.22067049145698547
v6,32,2.690002202987671,26.737255096435547,0.26265329122543335,0.365402489900589
