,A1,A2,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,C8
A1,157,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,0,146,0,0,0,0,0,0,0,0,0,0,0,0
B1,0,0,37,0,0,0,0,0,0,0,0,0,0,0
B2,0,0,0,41,0,0,0,0,0,0,0,0,0,0
B3,0,0,0,0,37,0,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,42,0,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,22,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,20,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,11,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,23,0,0,0,0
C5,0,0,0,0,0,0,0,0,0,0,26,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,14,0,0
C7,0,0,0,0,0,0,0,0,0,0,0,0,19,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,29
