,A1,A2,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,C8
A1,2140,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,0,2114,0,0,0,0,0,0,0,0,0,0,0,0
B1,0,0,586,0,0,0,0,0,0,0,0,0,0,0
B2,0,0,0,552,0,0,0,0,0,0,0,0,0,0
B3,0,0,0,0,502,0,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,565,0,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,270,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,263,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,263,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,269,0,0,0,0
C5,0,0,0,0,0,0,0,0,0,0,301,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,270,0,0
C7,0,0,0,0,0,0,0,0,0,0,0,0,266,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,279
